,Control,Treatment
TotalRecipients,2715,2714
Opened,1388,1365
Clicked,28,21
Bounced,12,13
Unsubscribed,10,6
SuccessfulDeliveries,2703,2701
TotalPaypal,20,8
TotalEventBrite,6,6
TotalCompany Website,4,5
TotalLinkedin,3,4
TotalFacebook,1,4
TotalTwitter,0,0
TotalInstagram,0,0
TotalYoutube,0,0
UniquePaypal,17,7
UniqueEventBrite,5,5
UniqueCompany Website,4,5
UniqueLinkedin,2,3
UniqueFacebook,1,3
UniqueTwitter,0,0
UniqueInstagram,0,0
UniqueYoutube,0,0
